title,name,description,type,format,allowed_values,required
Funding Org:Location:Identifier,fundingOrganization/0/location/0/id,Location identifier,string,,,False
Funding Org:Location:Name,fundingOrganization/0/location/0/name,A name for this location.,string,,,False
Funding Org:Location:Country Code,fundingOrganization/0/location/0/countryCode,The ISO Country Code of the location of this activity.,string,,,False
Funding Org:Location:Latitude,fundingOrganization/0/location/0/latitude,The latitude of a point location,string,,,False
Funding Org:Location:Longitude,fundingOrganization/0/location/0/longitude,The longitude of a point location,string,,,False
Funding Org:Location:Description,fundingOrganization/0/location/0/description,A description of this location. This could include details of the element of the activity that takes place here.,string,,,False
Funding Org:Location:Geographic Code,fundingOrganization/0/location/0/geoCode,"A code referring to a geographical area, drawn from an established gazetteer. For example, the code for a local authority ward, or parliamentary constituency.",string,,,False
Funding Org:Location:Geographic Code Type,fundingOrganization/0/location/0/geoCodeType,"The type of Geographic Code (geoCode) used (e.g. Ward, Parliamentary Constituency etc.). This value for this field should be drawn from the [codelist of geographic code types](https://github.com/ThreeSixtyGiving/standard/tree/master/codelists/geoCodeType.csv).",string,,,False
Funding Org:Location:Last modified,fundingOrganization/0/location/0/dateModified,The date and time when information about this location was last updated.,date-time,,,False
