title,name,description,type,format,allowed_values,required
Planned Dates:Title,plannedDates/0/title,The title of this event,string,,,False
Planned Dates:Start Date,plannedDates/0/startDate,"All events should have a start date. Dates should be in YYYY-MM-DD or date-time format. If the month or day are not available, these may be omitted.",string,,,False
Planned Dates:End Date,plannedDates/0/endDate,"Events or activities lasting more than one day should have either a duration (in months) or an end date. Dates should be in YYYY-MM-DD or date-time format. If the month or day are not available, these may be omitted.",string,,,False
Planned Dates:Duration (months),plannedDates/0/duration,Events or activities lasting more than one day should have either a duration (in months) or an end date.,string,,,False
Planned Dates:Description,plannedDates/0/description,A description of this event,string,,,False
Planned Dates:Last modified,plannedDates/0/dateModified,When was information about this event last modified? A full date-time should be given. Usually this can be generated automatically by the software managing or exporting this data.,date-time,,,False
